Lote,"WT-3120NA-1001 (totalizer) [ton]","WT-3120NA-1002 (totalizer) [ton]","WT-3120NA-1001 (Average unbalance [%]","WT-3120NA-1002 (Average unbalance [%]","WT-3120NA-1001 (Average Overload [%]","WT-3120NA-1002 (Average Overload [%]","WT3120NA01 (Belt Scale)[ton]"
318,3541,3516.475,2.427754661,2.314629264,-2.367500673,-2.69740382,7129
319,3690.375,3665.9,2.17587227,2.379036241,-0.358151735,-0.687382298,7381
320,3763,3795.425,1.817110208,1.857940089,0.618778585,1.054950229,7411
321,3703.6,3688.15,2.889784239,2.992975323,-0.180252892,-0.388081786,7608
322,3758.2,3727.075,2.77401256,2.689015386,0.554210385,0.135525962,7551
323,3693.475,3649.75,2.556468799,2.970597892,-0.316451439,-0.904627388,7564
324,3702.55,3662.05,1.265075592,0.940209352,-0.194377186,-0.739171375,7517
325,3580.675,3561.55,1.559895909,1.107452119,-1.833804143,-2.091068066,7239
326,3661.825,3613.9,2.275098793,1.706664937,-0.742198009,-1.386871133,7434
327,3505.15,3440.125,0.582991156,0.830154247,-2.849744418,-3.724441754,7157
328,3681.275,3663.375,4.390892009,4.130016758,-0.480562281,-0.721347861,7437
329,3596.35,3555.85,5.619997125,5.09193654,-1.622948614,-2.167742803,7224
330,3703.3,3684.575,2.189394642,1.768616084,-0.184288405,-0.436171644,7365
331,3757.525,3722.525,1.667679531,1.905205852,0.545130482,0.074320689,7418
